ds,yhat,yhat_lower,yhat_upper
2017-12-29,378.4398515163427,303.89319116873065,457.70806584965595
2018-01-01,381.2764660701862,303.7084995476163,458.09985183274756
2018-01-02,383.0165000748096,302.4747858483738,456.9533733615048
2018-01-03,383.5997044097723,303.9622588953576,466.24159688836596
2018-01-04,385.13887937852724,315.4685097217211,462.60076568516314
2018-01-05,385.72583561822825,313.1143406756653,462.7976192151886
2018-01-08,388.95693913676297,314.3554181662189,470.6277686234971
2018-01-09,390.5368876311787,319.3296038761399,463.83596974417856
2018-01-10,390.84074814379494,314.5701389785637,472.11180650484386
2018-01-11,391.9675563164583,314.24102518100733,472.342923105461
2018-01-12,392.02068184550023,312.7585327571313,467.332655618187
2018-01-15,393.08025033033084,314.8981794309638,472.08074909388245
2018-01-16,393.8105386005299,316.25061873168823,469.04293600870386
2018-01-17,393.2377580514271,320.42324855042983,469.04915585263717
2018-01-18,393.4835985711952,319.16114620316864,472.5703165203902
2018-01-19,392.6739820915909,313.43980703538404,473.81877901325595
2018-01-22,391.4663799372612,318.3612865762497,467.7718458863515
2018-01-23,391.6101159410593,312.00911014924804,467.7081802608851
2018-01-24,390.56056546953573,308.4470178417539,462.8829377296944
2018-01-25,390.4501891705961,310.09332240693664,467.18878291931804
2018-01-29,388.31081125708175,309.86312407338175,467.3849301764045
2018-01-30,388.7434104844751,311.5723138739416,466.6752880243548
2018-01-31,388.0961360146766,307.53928472718746,467.06621716674067
2018-02-01,388.4889290185933,313.91167518584587,462.61094263889794
2018-02-02,388.0401356400091,310.1115549925525,465.6734982855905
2018-02-05,389.0416231690633,314.8427268258062,468.42390567285753
2018-02-06,390.2215964874649,310.12016699113065,465.9367308581168
2018-02-07,390.3109546239077,316.18101935395106,474.6521747326357
2018-02-08,391.40978545000155,314.3172399951869,466.7084347385243
2018-02-09,391.6176585184446,318.10093096358855,473.3479298224611
2018-02-12,394.13123478180535,314.75066874235677,473.9143730732606
2018-02-14,395.90664997600027,312.32267667078,475.0803708682636
2018-02-15,397.0865793969148,323.14460307299527,474.45897559487906
2018-02-16,397.2586025008783,323.86879362456494,483.12581585423516
2018-02-19,398.99954624685915,319.26914924078903,477.85785012125666
2018-02-20,400.0357330224026,320.0498717666911,478.09397687309024
2018-02-21,399.7912450410869,323.80197626003115,481.36660968548193
2018-02-22,400.37675000196685,319.78415063002365,475.5280467548128
2018-02-23,399.90697275210425,326.9153520728775,482.2136614906501
2018-02-26,399.61103157921326,320.7635671796688,476.7698001274745
2018-02-27,399.98923980837895,323.01126549197,477.0955322105713
2018-02-28,399.12497713374864,319.99533888924657,474.5759935642456
2018-03-01,399.1438080390306,319.423584053881,476.73568807415006
2018-03-05,396.875069691077,321.85298914069847,476.1994931092681
2018-03-06,397.10683447518227,326.7386839629571,481.5168389805304
2018-03-07,396.1945005143596,313.0136116033996,475.111427604792
2018-03-08,396.26250958793923,312.8707531273088,475.1109900412506
2018-03-09,395.4352522469929,313.7830662251798,470.2180050969995
2018-03-12,395.06004145413846,318.6170106043806,475.62998620981836
2018-03-13,395.7331938840478,319.87219128203964,475.38867235530404
2018-03-14,395.31013151184203,314.9084012182674,477.208807773549
2018-03-15,395.9027653764365,315.3399346143997,469.1517097843993
2018-03-16,395.62270588595686,318.6175733804562,476.3006800906392
2018-03-19,396.90091443553257,319.09302231367485,477.63277824886376
2018-03-20,398.09177485878877,322.7888322227855,472.57242010371084
2018-03-21,398.1539849806257,318.87992856419083,474.3795729225867
2018-03-22,399.19230596332295,318.1984237990658,474.6559596436453
2018-03-23,399.31295176352273,317.69809137659706,479.82156884983436
2018-03-26,401.49707732791353,323.19065716042,480.38437533339294
2018-03-27,402.89149769446607,327.80946140033836,473.0000054182743
2018-03-28,403.1124240112468,328.03038440052666,481.95869826932943
2018-04-02,406.7769941632004,329.78748053235745,488.8165240732831
2018-04-03,408.19052412444273,328.30708186712775,490.12807326410444
2018-04-04,408.43238037075673,333.49522434767357,489.62574727247204
2018-04-05,409.61844816975713,335.8777995018761,487.6891740696187
2018-04-06,409.866243442375,334.958375008739,492.0904863300816
2018-04-09,412.4136063668286,330.2833365955656,489.88289071457604
2018-04-10,413.95246218812224,339.6077736511614,492.7203600157878
2018-04-11,414.34002816488385,338.2122416819884,494.80178070686077
2018-04-12,415.68903568547387,338.481206210061,489.9038122361289
2018-04-13,416.1124435681162,332.43041497603446,492.16664961961914
2018-04-16,419.19963113774736,343.7167975376237,498.65949003064287
2018-04-17,420.89751762070443,348.7067224895548,503.9924217368254
2018-04-18,421.4198907026028,343.7574650028681,493.27769285164885
2018-04-19,422.8711744406967,347.62254240881475,495.65778634914284
2018-04-20,423.3564365799254,340.79348689157166,499.95391129151045
2018-04-23,426.32047122545845,345.8343103394674,507.07421042442184
2018-04-24,427.8585312385888,348.0898217715524,502.5736055965601
2018-04-25,428.1576619551065,349.8676304108782,504.21191995341195
2018-04-26,429.32257441682725,352.2103177458361,515.9967277489797
2018-04-27,429.4605653718196,352.4397821494551,508.20587518671607
2018-04-30,431.06879687215763,356.9520214714769,507.8532714785088
2018-05-02,431.8232351990124,352.9428519956853,518.4676391310552
2018-05-03,432.4258249877452,354.3035355992577,507.4227038028313
2018-05-04,432.004606778285,350.28305527652674,509.9706979840405
2018-05-07,432.0893720009785,351.48654646539524,507.45066483298893
2018-05-08,432.68493172716114,353.52502595949386,510.4299019167363
2018-05-09,432.0876640192136,354.22547808145976,503.7681421488272
2018-05-10,432.42482098093876,353.368483666095,503.26522865028767
2018-05-11,431.82539373777576,352.1999738102555,508.2376228575709
2018-05-14,431.954654276806,349.89671516155227,512.4577817364989
2018-05-15,432.76502807538157,355.055444962691,515.8764710632997
2018-05-16,432.4798392215722,356.9418045878919,507.4415211757613
2018-05-17,433.2209540698599,351.9797815680814,510.93257828772164
2018-05-18,433.1095879982767,354.5358742651233,508.0985472658563
2018-05-21,435.09806660640356,353.7097086850493,515.0862455727137
2018-05-22,436.6146275578165,357.5126037760409,518.6476441747848
2018-05-23,437.05307683058015,357.77834736200435,516.2679251728362
2018-05-24,438.51874903571735,359.85049286396014,510.51137266031577
2018-05-25,439.11621493652177,358.53930151882054,519.7144691896714
2018-05-28,442.9779299253295,365.53796096187284,521.1499167307287
2018-05-29,444.98698863573463,368.17735657132937,518.4443653929428
2018-05-30,445.8323193492662,371.03122729544646,526.2963522334333
